Issue Number; Title; Github URL; Labels; State; Created At; Updated At; Reporter; Assignee
712; "Regression bug: bookshelf, publication info 'about this book' => crash (white window background)"; https://github.com/edrlab/thorium-reader/issues/712; ""; closed; 09/20/2019; 09/23/2019; danielweck; 
711; "Regression bug: cannot add publications to local library / bookshelf"; https://github.com/edrlab/thorium-reader/issues/711; ""; closed; 09/20/2019; 09/20/2019; danielweck; 
710; "forgot spread operator in api.tsx"; https://github.com/edrlab/thorium-reader/pull/710; ""; closed; 09/20/2019; 09/20/2019; panaC; panaC
709; "bookshelf, remove / delete publication does not work"; https://github.com/edrlab/thorium-reader/issues/709; ""; closed; 09/20/2019; 09/20/2019; danielweck; 
708; "Usage of returnFocus from react-focus-lock?"; https://github.com/edrlab/thorium-reader/issues/708; "question"; closed; 09/20/2019; 08/26/2022; danielweck; 
707; "NPM updates (including r2-xxx-js packages)"; https://github.com/edrlab/thorium-reader/pull/707; ""; closed; 09/20/2019; 09/20/2019; danielweck; 
706; "make redux typed"; https://github.com/edrlab/thorium-reader/issues/706; ""; closed; 09/14/2019; 11/12/2019; panaC; panaC
705; "reformat dialogManager in react"; https://github.com/edrlab/thorium-reader/issues/705; ""; closed; 09/14/2019; 09/23/2019; panaC; panaC
704; "reformat reader.tsx"; https://github.com/edrlab/thorium-reader/issues/704; ""; closed; 09/14/2019; 03/18/2020; panaC; panaC
703; "updated NPM packages "; https://github.com/edrlab/thorium-reader/pull/703; ""; closed; 09/12/2019; 09/12/2019; danielweck; 
702; "CLI `-h` does not work, `--help` does work."; https://github.com/edrlab/thorium-reader/issues/702; ""; closed; 09/12/2019; 09/23/2019; danielweck; panaC
701; "CLI 'import' and 'opds' command do not work?"; https://github.com/edrlab/thorium-reader/issues/701; ""; closed; 09/12/2019; 09/23/2019; danielweck; panaC
700; "same book imported multiple times into local bookshelf, we need to discriminate the unicity of epub file (hash ?)"; https://github.com/edrlab/thorium-reader/issues/700; "enhancement"; closed; 09/12/2019; 10/21/2019; danielweck; panaC
699; "CLI documentation, what is 'default command'? (`thorium-reader PATH_TO_EPUB`)"; https://github.com/edrlab/thorium-reader/issues/699; ""; closed; 09/12/2019; 09/23/2019; danielweck; panaC
698; "Reinstate `no-floating-promises` in `tslint.json`"; https://github.com/edrlab/thorium-reader/issues/698; ""; closed; 09/12/2019; 03/19/2020; danielweck; panaC
697; "Windows (AppX deployed to Microsoft Store): no 'open with' option for EPUB files?"; https://github.com/edrlab/thorium-reader/issues/697; ""; closed; 09/11/2019; 10/09/2019; danielweck; panaC
696; "[READY TO MERGE][TYPING] replace withApi and typing react component"; https://github.com/edrlab/thorium-reader/pull/696; ""; closed; 09/11/2019; 09/27/2019; panaC; panaC
695; "New feature: utilization data & analytics"; https://github.com/edrlab/thorium-reader/issues/695; "question"; closed; 09/10/2019; 10/14/2020; mutterback; 
694; "Fixes #689 : fixes see more button in publication description"; https://github.com/edrlab/thorium-reader/pull/694; ""; closed; 09/06/2019; 09/06/2019; Scarsniik; 
693; "Fixes #690 : add space between tags"; https://github.com/edrlab/thorium-reader/pull/693; ""; closed; 09/06/2019; 09/06/2019; Scarsniik; 
692; "OPDS 'add' dialog, hidden 'ok' button (only appears when all fields are provided by the user)"; https://github.com/edrlab/thorium-reader/issues/692; "css"; closed; 09/06/2019; 10/08/2019; danielweck; Scarsniik
691; "Publications list in library view, inconsistent lining-up (horizontal rythm)"; https://github.com/edrlab/thorium-reader/issues/691; "css"; closed; 09/06/2019; 10/09/2019; danielweck; Scarsniik
690; "Publication tags 'cloud', needs spacing (visual aesthetics)"; https://github.com/edrlab/thorium-reader/issues/690; ""; closed; 09/06/2019; 09/06/2019; danielweck; Scarsniik
689; "Regression? publication info dialog, long description does not have the expand/collapse button anymore"; https://github.com/edrlab/thorium-reader/issues/689; ""; closed; 09/06/2019; 10/03/2019; danielweck; Scarsniik
688; "Fixes #621 : fix long OPDS breadcrumb line-breaks path separators"; https://github.com/edrlab/thorium-reader/pull/688; ""; closed; 09/06/2019; 09/06/2019; Scarsniik; 
687; "Panac/hotfix/thorium name"; https://github.com/edrlab/thorium-reader/pull/687; ""; closed; 09/06/2019; 09/06/2019; panaC; 
686; "Fixes #615 : breadcrumb is always visible in opds browse"; https://github.com/edrlab/thorium-reader/pull/686; ""; closed; 09/06/2019; 09/06/2019; Scarsniik; 
685; "app first start (default settings) => reader view options are not initialized correctly (store sync problem?)"; https://github.com/edrlab/thorium-reader/issues/685; ""; closed; 09/05/2019; 09/24/2019; danielweck; Scarsniik
684; "Fixes #614 : the long titles of the boxes opds returns to the line"; https://github.com/edrlab/thorium-reader/pull/684; ""; closed; 09/05/2019; 09/05/2019; Scarsniik; 
683; "[WIP][TYPING] DB"; https://github.com/edrlab/thorium-reader/pull/683; ""; closed; 09/05/2019; 11/14/2019; panaC; panaC
682; "Fixes #344 add a submit button for tags"; https://github.com/edrlab/thorium-reader/pull/682; ""; closed; 09/05/2019; 09/06/2019; Scarsniik; 
681; "[PARKED] (DO NOT MERGE) attempt to fix #678 by migrating the reader's sidemenu into an overlay portal"; https://github.com/edrlab/thorium-reader/pull/681; ""; open; 09/05/2019; 04/28/2021; danielweck; danielweck
